Date : 2023-02-16 16:22:55
Directory : c:\Vito\portfolio\portfolio
Total : 80 files,  4720 codes, 85 comments, 415 blanks, all 5220 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Vito\portfolio\portfolio\pages\blog\index.js                    | JavaScript         |        183 |          1 |         16 |        200 |
| c:\Vito\portfolio\portfolio\pages\contact.js                       | JavaScript         |        157 |          4 |         15 |        176 |
| c:\Vito\portfolio\portfolio\pages\error.js                         | JavaScript         |          9 |          0 |          3 |         12 |
| c:\Vito\portfolio\portfolio\pages\index.js                         | JavaScript         |         37 |          0 |          5 |         42 |
| c:\Vito\portfolio\portfolio\pages\projects.js                      | JavaScript         |         84 |          0 |         10 |         94 |
| c:\Vito\portfolio\portfolio\public\V-icon.svg                      | XML                |          9 |          0 |          1 |         10 |
| c:\Vito\portfolio\portfolio\public\about_landing_image.svg         | XML                |         91 |          0 |          1 |         92 |
| c:\Vito\portfolio\portfolio\public\contact_landing_image.svg       | XML                |         36 |          0 |          1 |         37 |
| c:\Vito\portfolio\portfolio\public\contact_landing_image_light.svg | XML                |         36 |          0 |          1 |         37 |
| c:\Vito\portfolio\portfolio\public\home_landing_image.svg          | XML                |        132 |          0 |          1 |        133 |
| c:\Vito\portfolio\portfolio\public\home_landing_page.svg           | XML                |        132 |          0 |          1 |        133 |
| c:\Vito\portfolio\portfolio\public\icon\dark.svg                   | XML                |          3 |          0 |          1 |          4 |
| c:\Vito\portfolio\portfolio\public\icon\deploy.svg                 | XML                |         12 |          0 |          1 |         13 |
| c:\Vito\portfolio\portfolio\public\icon\figma.svg                  | XML                |          3 |          0 |          1 |          4 |
| c:\Vito\portfolio\portfolio\public\icon\github.svg                 | XML                |          3 |          0 |          1 |          4 |
| c:\Vito\portfolio\portfolio\public\icon\instagram.svg              | XML                |          3 |          0 |          1 |          4 |
| c:\Vito\portfolio\portfolio\public\icon\light.svg                  | XML                |          3 |          0 |          1 |          4 |
| c:\Vito\portfolio\portfolio\public\icon\menu-dark.svg              | XML                |          3 |          0 |          1 |          4 |
| c:\Vito\portfolio\portfolio\public\icon\menu-light.svg             | XML                |          3 |          0 |          1 |          4 |
| c:\Vito\portfolio\portfolio\public\icon\twitter.svg                | XML                |          3 |          0 |          1 |          4 |
| c:\Vito\portfolio\portfolio\public\man_avatar.svg                  | XML                |         23 |          0 |          1 |         24 |
| c:\Vito\portfolio\portfolio\styles\404.module.css                  | CSS                |         64 |          0 |          1 |         65 |
| c:\Vito\portfolio\portfolio\styles\Home.module.css                 | CSS                |        137 |          6 |          3 |        146 |
| c:\Vito\portfolio\portfolio\styles\about.module.css                | CSS                |        269 |          0 |          1 |        270 |
| c:\Vito\portfolio\portfolio\styles\blog.module.css                 | CSS                |         75 |          0 |          1 |         76 |
| c:\Vito\portfolio\portfolio\styles\blogPage.module.css             | CSS                |        153 |          1 |          1 |        155 |
| c:\Vito\portfolio\portfolio\styles\blogPreview.module.css          | CSS                |        128 |          0 |          2 |        130 |
| c:\Vito\portfolio\portfolio\styles\button.module.css               | CSS                |         32 |          0 |          1 |         33 |
| c:\Vito\portfolio\portfolio\styles\comment.module.css              | CSS                |         72 |          0 |          2 |         74 |
| c:\Vito\portfolio\portfolio\styles\contact.module.css              | CSS                |        194 |          0 |          2 |        196 |
| c:\Vito\portfolio\portfolio\styles\contextToggle.module.css        | CSS                |         11 |          0 |          1 |         12 |
| c:\Vito\portfolio\portfolio\styles\form.module.css                 | CSS                |        148 |          0 |          2 |        150 |
| c:\Vito\portfolio\portfolio\styles\globals.css                     | CSS                |        200 |          4 |          7 |        211 |
| c:\Vito\portfolio\portfolio\styles\layout.module.css               | CSS                |          0 |          0 |          1 |          1 |
| c:\Vito\portfolio\portfolio\styles\loadingPage.module.css          | CSS                |         47 |          0 |          1 |         48 |
| c:\Vito\portfolio\portfolio\styles\navbar.module.css               | CSS                |        154 |         19 |          3 |        176 |
| c:\Vito\portfolio\portfolio\styles\oneMin.module.css               | CSS                |         37 |          0 |          2 |         39 |
| c:\Vito\portfolio\portfolio\styles\projects.module.css             | CSS                |         93 |          0 |          1 |         94 |
| c:\Vito\portfolio\portfolio\styles\rate.module.css                 | CSS                |         47 |          0 |          1 |         48 |
| c:\Vito\portfolio\portfolio\styles\textButton.module.css           | CSS                |          8 |          0 |          1 |          9 |
| Total                                                              |                    |      4,720 |         85 |        415 |      5,220 |
+--------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
