"filename", "language", "JSON with Comments", "JSON", "CSS", "JavaScript", "Markdown", "XML", "JavaScript JSX", "comment", "blank", "total"
"c:\Vito\portfolio\portfolio\public\contact_landing_image_light.svg", "XML", 0, 0, 0, 0, 0, 36, 0, 0, 1, 37
"c:\Vito\portfolio\portfolio\public\home_landing_image.svg", "XML", 0, 0, 0, 0, 0, 132, 0, 0, 1, 133
"c:\Vito\portfolio\portfolio\public\home_landing_page.svg", "XML", 0, 0, 0, 0, 0, 132, 0, 0, 1, 133
"c:\Vito\portfolio\portfolio\public\icon\dark.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Vito\portfolio\portfolio\public\icon\deploy.svg", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Vito\portfolio\portfolio\public\icon\figma.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Vito\portfolio\portfolio\public\icon\github.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Vito\portfolio\portfolio\public\icon\instagram.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Vito\portfolio\portfolio\public\icon\light.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Vito\portfolio\portfolio\public\icon\menu-dark.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Vito\portfolio\portfolio\public\icon\menu-light.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Vito\portfolio\portfolio\public\icon\twitter.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Vito\portfolio\portfolio\public\man_avatar.svg", "XML", 0, 0, 0, 0, 0, 23, 0, 0, 1, 24
"c:\Vito\portfolio\portfolio\styles\404.module.css", "CSS", 0, 0, 64, 0, 0, 0, 0, 0, 1, 65
"c:\Vito\portfolio\portfolio\styles\Home.module.css", "CSS", 0, 0, 137, 0, 0, 0, 0, 6, 3, 146
"c:\Vito\portfolio\portfolio\styles\about.module.css", "CSS", 0, 0, 269, 0, 0, 0, 0, 0, 1, 270
"c:\Vito\portfolio\portfolio\styles\blog.module.css", "CSS", 0, 0, 75, 0, 0, 0, 0, 0, 1, 76
"c:\Vito\portfolio\portfolio\styles\blogPage.module.css", "CSS", 0, 0, 153, 0, 0, 0, 0, 1, 1, 155
"c:\Vito\portfolio\portfolio\styles\blogPreview.module.css", "CSS", 0, 0, 128, 0, 0, 0, 0, 0, 2, 130
"c:\Vito\portfolio\portfolio\styles\button.module.css", "CSS", 0, 0, 32, 0, 0, 0, 0, 0, 1, 33
"c:\Vito\portfolio\portfolio\styles\comment.module.css", "CSS", 0, 0, 72, 0, 0, 0, 0, 0, 2, 74
"c:\Vito\portfolio\portfolio\styles\contact.module.css", "CSS", 0, 0, 194, 0, 0, 0, 0, 0, 2, 196
"c:\Vito\portfolio\portfolio\styles\contextToggle.module.css", "CSS", 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Vito\portfolio\portfolio\styles\form.module.css", "CSS", 0, 0, 148, 0, 0, 0, 0, 0, 2, 150
"c:\Vito\portfolio\portfolio\styles\globals.css", "CSS", 0, 0, 200, 0, 0, 0, 0, 4, 7, 211
"c:\Vito\portfolio\portfolio\styles\layout.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Vito\portfolio\portfolio\styles\loadingPage.module.css", "CSS", 0, 0, 47, 0, 0, 0, 0, 0, 1, 48
"c:\Vito\portfolio\portfolio\styles\navbar.module.css", "CSS", 0, 0, 154, 0, 0, 0, 0, 19, 3, 176
"c:\Vito\portfolio\portfolio\styles\oneMin.module.css", "CSS", 0, 0, 37, 0, 0, 0, 0, 0, 2, 39
"c:\Vito\portfolio\portfolio\styles\projects.module.css", "CSS", 0, 0, 93, 0, 0, 0, 0, 0, 1, 94
"c:\Vito\portfolio\portfolio\styles\rate.module.css", "CSS", 0, 0, 47, 0, 0, 0, 0, 0, 1, 48
"c:\Vito\portfolio\portfolio\styles\textButton.module.css", "CSS", 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"Total", "-", 3, 32, 1869, 2234, 30, 495, 57, 85, 415, 5220
